"final_review","review_posPer","review_decision"
"I bought two of these in April of  They have been running in my desktop since then The one of the two that does get heavier use has just failed It is now getting bad sectors popping up all over the place The other seems like it is doing OK but I will probably replace it as well Three years is a bit on the low side for durability While it certainly outlasted its warranty I would have hoped it would have lasted at least  years With over  years in desktop support I have seen the majority of systems last on the floor with no hardware failures for  years Since it did last more than three years a three star rating seems fair This drive is certainly decent just dont expect it to last especially under moderately heavy use",42.8571428571429,"negative"
"I installed this to replace my failing OEM hard drive  I am an old retired guy with extensive training and experience with electronics but my area of expertise was radio satellite and microwave communications not computers  Installation and cloning the new drive using the WD Acronis software downloaded free from the WD website was easy and straightforward  The only problem I had was of my own making I didnt run Check Disk on my old drive before attempting to clone the new one  My old drive was failing and I knew that from the beginning  I had to stop and go back run Check Disk and let it repair the bad sectors it found  Once I did that the cloning went smoothly and much quicker than I expected  I then removed the old drive and put everything back together  It is working like a new computer now  By the way my system is using Windows  Home Edition",33.3333333333333,"negative"
"I purchased this as a secondary drive for my Windows  Pro machine It does its job of additional storage However prospective buyers should understand the difference between MBR and GPT when configuring this something I did not do MBR Master Boot Record is the older drive standard that most machines have used GPT GUID Partition Table is a newer standard to replace this These are not to  be confused with file formats such as FAT NTFS or ext MBR only supports up to TB disk space for a drive while GPT does not have this limitationI chose MBR when setting up my drive only to find later that Windows was only seeing TB of disk space while GB of space remained unallocated I could not change this in Windows Disk Management There is a way to change this via Windows Command Prompt However users unfamiliar with the Command Prompt should not use this method The safer option is to download a free trial of partition software to rebuild the entire disk as GPT If you do not want to do this you can create an Ubuntu Live CD and run GParted to format the unallocated disk space into an NTFS drive Windows will see this as a separate drive and assign it its own letter this is called a logical partition as both drives reside within one physical disk",75,"positive"
"Ive long been a fan of Western Digital hard drives and this drive continues that tradition My computer has an external hard drive slot to just plug a drive in I use this WD Blue to plug into that slot when I want to do backupsOnce its plugged in you just need to set it up once in Windows Drive Manager and youre good to go  Disclaimer I own a small number of shares of stock in Western Digital Not enough shares to influence my review I own the stock because the drives are good not vice versa",75,"positive"
"I work in the IT industry and have built many computers NASs etc  My go to drive at this point is Western Digital  Ive got several Red drives in a NAS in my home several WDs drives in other PCs and a few laptop drives in external readers  all without issueWith that said  this drive has been pretty good so far  Im using it as a data drive to my primary SSD it runs nonessential  nonspeed dependent apps such as Office etc  Ran Crystal Disk and getting great speeds  check my photo",100,"positive"
"Failed just after the  day mark  Hard drive was working fine then a windows pop up stated that hard drive couldnt be accessed because of errors  Ran disk check windows rebooted and now cant access the drive as it comes up unknown device and it will not initialize as it says there is not enough space  Looks like the control board failed  Now stuck as WD does not accept OEM devices for warranty and waiting for information from seller on if it can be returned and exchanged  Moved from WD green devices because of their habit to fail roughly every couple years and my first blue drive that I buy does thisNotation edit  Pay attention when ordering and what class of drive it is  If it is OEM WD does not warranty it  And Amazons return policy does not cover past  days  If going through a third party seller check their return policies  Many follow Amazons return policy as well  So on day  it is up to the seller  Ive bought  hard drives through amazon in the last  months  failed  good and  unknown  One current failure and is OEM   because of USPS delivering a box that looked like it had been through WW and decided to take an additional stroll through armadagon USPS replaced the contents of the box as it was their equipment that destroyed it without even having to test the drives and  worked nonOEM  Of course the one drive I currently have is OEM and it looks like it is going to be trouble getting it replaced  Amazon states in their return policy that it is up to  years on some electronic devices but will not let me start a return on this  Thinking of switching my hard drive purchases to another party with a more realistic hard drive return policy",33.3333333333333,"negative"
"Worked great on Lenovo Desktop From previous experience I knew I could add this SATA III Gbs  as a secondary disk drive Note it does NOT come with needed  mounting screws and does not come with any cables at allFor my desktop I needed a Y SATA power splitter cable to get another power line to this drive I also needed a blue SATA III data cable I had bought these cables on a previous occasion from Amazon when I knew I would be doing two of these installs  I had onhand the small probably metric approximately  inch long computer screws needed to fasten this to the empty available secondary drive bayI had added a secondary SATA drive once before to a different Lenovo desktop so the actual physical install procedure took me only  minutesYou then need to boot up and into Windows Then format it either as NTFS or FAT and choose partition type either MBR or GPT and do a full format which probably took an hour For now Ill use it for secondary storage If you plan on installing Win be sure to use GPT and not MBR partition type and use NTFS format",50,"netural"
"At home using a robust Internet connection Ive been spoiled to be able to watch streaming videos at times that are convenient for me  During my motorhome travels where reliable highspeed Internet connections are usually NOT available Ive depended upon satellite TV movie channels  Unfortunately the satellite movies have been scheduled at their convenience and not necessarily mine  The solution for me was a Digital Video Recorder DVRI bought this hard drive in combination with a Sabrent USB  SATA Inch Aluminum Hard Drive Enclosure ECGD so I could use it with the DishTV VIPK satellite receiver in my motorhome  The combination of those two items from Amazon  cost between  and  less than similar offerings on DishTVs Website  According to DishTV a TB hard drive will record  hours of video but they dont say if itll record that many hours in HDInstalling this hard drive into the Sabrent enclosure took no more than three minutes which I felt was time wellspent considering what I saved  After I plugged this enclosed hard drive into the satellite receivers USB port turned it on and had DishTV activate the hard drive which costs  it took about five minutes to format  Completing this installation Ive been able to automatically record movies from my satellite receiver and then play them back at a time when it is convenient for me to watchIn this DVR application I could not ask for better performance  I can set up the DVR to record movies automatically and have those movies waiting for me when its convenient for me to view them  The recordings are as clear and sharp as the original programming and play without pauses stuttering or glitches  Compared with buying a hard drive that was already in a housing with a power supply this combination costs less and provides flawless performance",41.6666666666667,"negative"
"This will store TB of porn That is way too much porn Dont you judge me This hard drive will smite other weaker hard drives making it the hardest of all drives It  also goes hard in the paint im not  percent sure what that means though probably some drug thing",0,"negative"
"I use this as an internal backup drive  I have the backup utility in Ubuntu Linux configured to make a nightly incremental backup at  AM which usually takes only a few minutes to sync with all changes made to my main hard drive during the previous day  I also make monthly uncompressed disk backups and keep the last three and I have an external hard drive version as well  Ill eventually get another network attached storage device and keep everything backed up on that RAID device  My working hard drive is a solid state drive SSD and that makes this workstation run MUCH faster  Use the SMART drive diagnostics in the Western Digital hard drive to monitor the age errors and remaining expected life of the drive and replace it before you start losing data  Hard drives are inexpensive  Your data is not  Choose a strategy to protect your data before your drive fails  Unfortunately most people seem to think hard drives last forever and they really miss their data when its gone",25,"negative"
"This drive provides value for the money Its not especially fast but my use case for it is bulk storage I have an SSD for things that need frequent and rapid accessYou may not want this to be your primary drive if your concern is performance However if you need a lot of storage at a very attractive price this is a good choiceInstallation was trivial Plug and play partition restore from backups I was replacing a failed drive done I have a dualboot LinuxWindows  installation and encountered no difficulty at allNo personal data as yet on longevity but Ive always had good luck with WD products in the past Still it goes without saying  do your backups",71.4285714285714,"positive"
"Purchased for installation in my fathers primary PC to replace an existing drive that was starting to fail The cloning process went smoothly which allowed us to forego a lengthy reinstall of OS applications and backed up data Unfortunately after  days the machine in which the drive was installed began to exhibit problems rebooting nightly windows popups complaining about being unable to save  write to files Doing a chkdsk x f r and rebooting claimed to correct filesystem problems but running the provided Data LifeGuard software for Windows detected bad sectors that it claimed it was unable to repair It recommended we contact WD support for assistanceI recognize that we happened to get one of the few bad drives in a batch but the warranty  replacement process as described on their site is frustrating Effectively the consumer is left without a functioning computer unless they invest additional money into another drive on which to copy their OS and data while the faulty product is shipped examined and repaired  replaced Given the cost of shipping and the low cost of the smaller drives its probably more cost effective to simply write it off Sadly the consumer is left with a bad taste in their mouths from the experience",41.6666666666667,"negative"
"From the previous reviews I was a little apprehensive about this purchase I bought the drive for an older HP Touchsmart computer This is the rd drive for that computer It came originally with a Seagate g drive that lasted about  months I was disappointed in the short duration of that drive but HP assured me that was the only brand and size of drive that would work in this particular computer So I was directed to a vendor in New York that could sell me another drive like the original Well that one lasted  months Then I started reading reviews of Seagate drives Apparently theyve been having some quality control issues in the past Hence my desire to purchase a different brand Since I really like the  Western Digital Passport external drives Ive purchased I decided to take a chance on this one Thanks to all who responded to my questions about whether it would work in this computer I also decided to upgrade to a TB drive instead of a g I am so glad I didThis drive came up immediately My full version of Windows  loaded on it very quickly And the drive is vVery quiet so far I know there are a few complaints about the noise but I havent experienced that at least yet It is so fast compared to the previous drives that were in the computer And it is pretty cool seeing how much free space i have on itI highly recommend this drive to anyone considering it What I learned is pretty much all  inch Sata drives will fit in and work in any computer calling for that size drive It worked well in my older HP allinone Touchsmart",84.6153846153846,"positive"
"This drive has served well so far  massive storage quiet stays cool when tested with Crystal Disk Info whats not to like  Install was as always a noneventIve had WD Seagate and other drives in the past ten years Ive been indulging in my computer hobby  Ive built my last three boxes from scratch and my current one is a monster I use for video and photo editing storing all the pics and videos from my nine security cameras and its also my media server feeding content via wifi to the Apple TV box attached to my home theater  There is one SSD and five large conventional hard drives in this box four of the five are Western Digital  There is also a drive plugin bay on the top of the box for temporary use of a drive my backup  Thats this drive  Why are so many of my drives WD drives  Fewer failures than the other brands and they give me no hassle ifwhen a drive fails within warranty  No sweat  RMA send me a drive I return the original to them  At least that doesnt happen often but as is the case with any mechanical device its not going to last forever  I just want it taken care of it it happens within warranty and WD does that for meNo Im not a Vine member  I paid full price for all those drives",55.5555555555556,"positive"
"The hard drive came packaged securely Installed it in the computer formatted it and it worked fine I did a full format not a quick format to test for bad sectors and then went to do a chkdisk on it and it told me I didnt have to because I guess it already did during the full format which took like ish hours by the way and it said there were no bad sectors Overall Id say this is a good purchaseI am glad I went with this drive over the WD Black saved a couple of dollars I was worried about the speed of the drive considering I only have an SSD in the system this would be for adding extra games to since my SSD was filled up quite fast No problems loads games just fine Couldnt be happier with this purchase Now I see why so many people choose this driveI guess Ill just come back and add a note to this review if the drive fails on me but Ive been putting it to the test filling it up with games adding files deleting files I think it will last",46.1538461538462,"negative"
"Worked for a year and then tanked not in BIOS or disk management  I even attempted to turn on Hot swap in my BIOS and is doesnt detect anything  I should have known better than to buy a WD blue as we have had thousands of these die at the hospital I work for  I decided to roll the dice and trust Amazons reviews  I was fooled  The high rating for this product comes from multiple products across multiple years and the drives are constantly being made by different manufacturers  Amazon needs to change their rating system  A WD TB SATA built in  is not the same as a WD  TB STA built in  and yet they are lumped into the same rating pool",66.6666666666667,"positive"
"WD Blue TB Desktop Hard Disk Drive   RPM SATA  Gbs MB Cache  Inch  WDEZEX ReviewThis was a replacement for another TB drive that lasted about  years Was the same as this but the green version This is much faster and seems to be doing the job It fit as it should in the computer and recognized as i needed toPro’s• Cheap• Fast so far• Fits as expectedCon’s• None so far but its a hard drive so who knowsConclusionIts a basic TB hard drive No frills or anything It doesnt glow red or make coffee for me in the morning but i am hoping that it wont stand me up either",50,"netural"
"This Hard Drive arrived defective Contacted Western Digital and they agreed to swap it out This was a brand new drive that formatted to  and died and I paid  to ship it back to them and they sent me a Recertified drive I asked for a new drive and spent at least a half hour of them telling me no I called Amazon and told them the entire situation and they sent me a new drive at no cost Turns out the Recertified drive was completely dead Not recognized for even a minute The replacement that Amazon sent works but is noisy I dont expect to buy Western Digital again no matter how low the price They showed I was not valued as a customer and benefited them self at my expense Amazon is the best and I appreciate them and how they have treated me over the years",40,"negative"
"Great Fast Cheap Hard Drive  I upgraded from a Western Digital Blue  GB Hard Drive  WDAAKX which according to userbenchmarkcom averaged around  MBs for read and write  My Cyber Disk Mark Test results were  MBs sequential read and  MBs sequential write speeds which is a significant improvement  The computer runs noticeably faster  Overall I am happy with my purchase",100,"positive"
"This is a great basic hard drive Its a terabyte spins at  RPM and has a  Gbps SATA throughput To top it off its a great price per GB  sure there are drives at higher capacities with lower prices per GB but this is the sweetspot A thumb rule I use to calculate that how much does the next lower capacity cost In this case  GB sells at about  Add  and your capacity doubles to this  TB model Thats  increase in capacity for  increase in price Whenever a Hard drive capacity falls in this rule thats what I define as the budget sweetspotComing back to topic at hand The hard drive arrived in basic but very functional packaging with adequate protection And its working perfectly fine so it living proof that its all good in terms of packaging and handling I unpacked it and installed it into my desktop  a process that took about  minutes end to end I booted up the computer and voila the hard disk was seen Windows initialized it and in matter of seconds I was up an running with this shiny new storage bin for all my games movies and musicIve been a WD user for years after switching over from Seagate due to sheer number of RMAs I had to do with Seagate And once again I am super satisfied with this model Go for it its a great budget hard drive with the optimal capacity based on my formula above",76.4705882352941,"positive"
"Used this hard drive to Mod an Original Xbox the  rpm makes for lightning fast load times The locking capability is a must for modding an Xbox It makes virtually no sound which is perfect Overall this is an excellent hard drive",40,"negative"
"ITS A GREEN DRIVE NOT BLUEokay the label is blue and it is as advertised but if you bought WD HDDs before you know what that meansHistoryWD made cheap and bad green  drives RPM and in efforts to boost sales they got their label changed to blue and discontinued the use of green labels  marketting SOBsWell anyways kinda expected that for  that I paid This goes into the PS  adapter so not a big deal if it failsBefore the facts there is GOOD NEWS and its listed at the bottom and the drive does work fine right now but  stars because Im worried ok it makes noises probably normal noises and it is really a cheap green drive so that worries me tooThe current factsIt vibrates it makes old and somewhat loud pc like noise head movement when playing games or when not playing games but transferring more than one file at same time downloading  or  games at once If it is doing multi file transfer but one after another instead of all at once then the head doesnt move much so no noise can be heardThe intensity of the noise is no louder than old drives of the s so Im only half worried as this may be the actual design of this driveIt gets warm almost too warm but not toasty granted it could use better ventilation and it is sitting in the adapter thing above a warm psThere was one BIG issue which may have been the ps adapters fault where I lost all data on the rd day It would turn on and spin but ps could not recognize it or be able to initialize it pss version of formattingThe fix was to use pc and rd party freeware to rebuid the MBR Guess something went wrong with ps Afterward once MBR was rebuilt it still only worked after I initialized pss version of formatting the whole drive and started resh again and that was a BIG improvement weeks and  TB later it is doing okI still dont know what went wrong that dayTHE GOOD NEWS  best for last ehNo surface errors found tested this right out the package and after I had ps screw up the hdd MBR assuming it was PS that did it or the adapterGuess ill keep track of it and rereview if i can once it screws up again and Ill do SMART diagnostics to make sure the drive is not at fault",52.3809523809524,"positive"
"I bought this drive as a clone for my SSD It has the right specs that I was looking for GBs transfer SATA III and USB  I only use it in an external enclosure and take it out when Im cloning the SSD with Acronis Then I disconnect it and store it awayWhy did I want these specs when Im not using it as the main HD Because I can clone the drive in  minutes instead of    to  hours before with older drives so I can get back to using my computer soonerCant go wrong with Western DigitalNow Im looking for a WD Black  TB to back up all my images",50,"netural"
"All hard drives fail eventually Its not a matter of if but when WD has a great warranty and the process is painless If the drive fails under warranty they will even do an advance replacement If the drive fails out of warranty they will offer a steep discount on a drive the same size or larger You cant go wrong with that I have built a lot of systems and overall the Western Digital drives have worked out better longer than other brands Ive tried I was looking for a  RPM drive because thats the sweet spot with spindle speed  RPM drives are nice but expensive and tend to run very hot  RPM drives are okay for laptops but not what I want in a desktop environment MB of cache also is a plus for me Unit was shipped incredibly fast arrived in perfect condition installed without any issues and represents the best value and performance for the money",61.5384615384615,"positive"
"Cant beat them for the money We use these as disposable forensic drives Each drive gets used once on most cases then stored in evidence or destroyed The  benefits are  sata  for speed and low price The Blue series is a great value as a forensic work driveVery inexpensive for what you get I remember paying  for my first  gig drive decades ago Weve come a long way to PCIE m drives",66.6666666666667,"positive"
